SchoolName,Index
Lawton Community Schools,1622
Le Sueur-Henderson Public Schools,1666
Leakey ISD,706
Leander ISD,795
Lee College,747
Lee County Schools,985
Lefors ISD,973
Leland Public School,2817
Lemont High School District 210,1271
Leon ISD,1996
Leroy-Gridley USD 245,2648
Lester Prairie Schools,2562
Levelland ISD,2283
Lewis County Schools,2780
Lewiston-Altura Public Schools,2341
Lewisville Independent School District,1194
Lexington ISD,1257
Leyden High School District 212,1259
Liberty Hill ISD,929
Liberty Independent School District,725
Liberty-Eylau ISD,822
Libertyville Elementary District 70,1784
Lincoln County School District,2565
Lincoln ESD 156,2505
Lincolnshire-Prairie View School District 103,1204
Lincolnwood District 74,1270
Lindale ISD,2191
Linden-Kildare CISD,739
Lindop School District 92,1578
Lindsay ISD,1875
Lipan ISD,1947
Lisle CUSD 202,1795
Little Cypress-Mauriceville CISD,807
Little Elm ISD,860
Little Falls Community Schools,903
Livingston ISD,1664
Livonia Public Schools School District,1615
Llano ISD,681
Lockhart Independent School District,714
Lockport School District 91,1496
Lombard School District 44,740
London Independent School District,996
Lone Oak Independent School District,2315
Long Prairie-Grey Eagle Public Schools,1444
Longview ISD,2235
Lorena ISD,933
Lorenzo ISD,2435
Los Alamos Public Schools,2696
Los Fresnos CISD,887
Louise ISD,2107
Louisiana  Citizens Property Insurance Corporation,2594
Lovejoy Independent School District,856
Lovelady Independent School District,1078
Lubbock Independent School District,869
Lubbock-Cooper ISD,1703
Luling ISD,1156
Lumberton ISD,851
Lyford CISD,1489
Lyme-Old Lyme Schools,2421
Lyon County School District,1027
Lyons School District 103,1785
Lyons Township High School District 204,1797
Lytle Independent School District,1872
Mabank Independent School District,1915
Macomb Community College,1312
Madison District Public Schools,1640
Madison Public Schools,2416
Madisonville CISD,2059
Magnolia ISD,793
Mahtomedi Public Schools,1077
Malakoff Independent School District,653
Mammoth - San Manuel Unified School District,2122
Manistee Area Public Schools,1636
Manistee Intermediate School District,1079
Manitowoc Public School District,2108
Mannheim District 83,1275
Manor Independent School District,938
Mansfield ISD,1116
Maple Lake Public Schools,1832
Marana Unified School District,1780
Marathon ISD,805
Marble Falls ISD,1042
Marengo CHSD 154,2789
Marengo Union Elementary CSD 165,1525
Marfa ISD,1076
Marion ISD,1985
Marlin Independent School District,1890
Marquette Alger Regional Educational Service Agency,1137
Marquette Public Schools,1492
Marshall Independent School District,798
Mart ISD,2436
Martin's Mill ISD,2240
Martinsville ISD,1280
Mary M. Knight School District,2077
Marysville Public Schools Districts,1172
Mason ISD,1905
Mason Public Schools,1099
Mathis Independent School District,2742
Mattawan Consolidated School,1508
Maud ISD,1889
Maypearl ISD,863
Mayville Community Schools,2352
Maywood School District 89,1713
McAllen Independent School District,1045
McCall-Donnelly Jt. School District No. 421,2127
McCamey ISD,2015
McDade ISD,2814
McFarland School District,1757
McKinney ISD,2118
McLean County Unit District No. 5,1482
McLean ISD,2654
McMullen County ISD,879
Meadow ISD,2250
Medford Public School,1173
Medford School District,1545
Medina Independent School District,702
Medina Valley ISD,760
Melissa ISD,716
Memphis ISD,847
Menahga Public School District 821,940
Mendon Community Schools,1091
Mendota CCSD 289,2543
Mendota High School,1330
Mercedes ISD,2182
Meridian CUSD 223,1268
Merkel Independent School District,1399
Mesa Vista Consolidated Schools,1974
Mesquite ISD,1314
Metamora CCSD 1,2386
Metlakatla Indian Community,2581
Mexia ISD,1752
Meyersville ISD,2286
Miami Independent School District,1883
Michigan Center Schools,1624
Michigan Independent Colleges & Universities,2174
Middle Rio Grande Development Council,1582
Middletown Public Schools,2423
Midland Independent School District,641
Midlothian ISD,1700
Mid-State Education District,1808
Mid-Valley Special Education Cooperative,1669
Midway ISD,728
Midwest Central CUSD #191,1206
Milam Appraisal District,2998
Milam County Commissioners Court,3085
Milano ISD,1771
Mildred ISD,1032
Miles ISD,1337
Mill Creek Academy,2800
Miller Grove ISD,976
Millington Community Schools,2551
Millsap ISD,1603
Millstadt CCSD 160,1486
Milton Freewater School District,1546
Mineola Independent School District,2269
Mineral Point Schools,2067
Mineral Wells Independent School District,957
Mingus Union High School District 4,2011
Minidoka County School District,2041
Minneapolis Public Schools Board of Education,1807
Minnesota State Academies Board,1131
Minnewaska Area Schools,1335
Minooka Community High School,1417
Mission Consolidated Independent School District,741
Mississippi Department of Education,979
Mississippi State Port Authority,1272
Mitchell School District,2678
Mokena School District 159,1269
Molalla River School District,1539
Moline-Coal Valley School District No. 40,1787
Monahans-Wickett-Pyote ISD,1958
Monroe Public Schools,1641
Montabella Community Schools,1643
Montcalm Area Intermediate School District,1313
Monte Alto ISD,784
Montevideo Public Schools,2489
Montgomery ISD,2239
Moody Independent School District,2220
MOREgroup,2782
Morris Area Public Schools,1596
Morris Elementary School District #54,1322
Morrow County School District,1536
Motley County ISD,1887
Moulton ISD,1960
Mount Clemens Community Schools,1631
Mount Pleasant Independent School District,768
Mount Pulaski CUSD #23,2414
"Mount Vernon City Schools, District 80",1806
Mt. Pleasant Public Schools,2679
Mt. Vernon Independent School District,1766
Mt. Vernon Township High School,1199
Muenster ISD,1781
Muleshoe Independent School District,1765
Mullin ISD,1151
Multnomah Education Service District,1538
Munday CISD,1021
Murchison ISD,2231
Muskegon Area ISD,1637
Nacogdoches ISD,786
Natalia ISD,688
National Purchasing Cooperative,816
National School Boards Association,2394
Navarro Independent School District,1383
Navasota ISD,1869
Naytahwaush Community Charter School,1830
NDSBA Test Member School DISTRICT,2810
Neah-Kah-Nie School District No. 56,1560
Neches ISD,2253
Nederland Independent School District,932
Needville ISD,1347
Negaunee Public Schools,1621
Neoga Community Unit School District #3,1279
Nevis Public Schools - ISD 308,1693
New Berlin CUSD # 16,2004
New Boston ISD,1126
New Braunfels ISD,1512
New Buffalo Area Schools,1056
New Caney Independent School District,2256
New Deal ISD,2798
New Diana ISD,872
New Fairfield Public Schools,2415
New Town Public Schools,2755
New Waverly ISD,883
Newport School District,2076
Newton ISD,1888
Newtown Public School District,2787
Nicollet Public Schools,1842
Niles Community Schools,1659
Niles Township District for Special Education #807,2698
Niles-Maine District Library,1293
Nippersink School District 2,1423
Nixon-Smiley CISD,650
Nocona Independent School District,2117
Nome Public Schools,1867
Nordheim ISD,2206
Normangee ISD,776
Norridge School District 80,1242
North Bend School District #13,1573
North Branch Area Public Schools,1686
North Clackamas School District,1564
North Crawford School District,2150
North DuPage Special Education Cooperative,1336
North East Independent School District,1897
North Hopkins ISD,2304
North Lamar ISD,1049
North Santiam School District 29J,1548
North Shore School District 112,2398
North Slope Borough School District,1316
North Stonington Public Schools,2628
North Wasco County School District 21,1556
North Zulch ISD,797
Northbrook District 28,1190
Northeast Metro 916,2488
Northeast Texas Community College,1917
Northeast USD 246,2627
Northern Area Local Workforce Development Board,779
Northern Valley Schools,2261
Northland Community Schools - ISD 118,1430
Northside ISD,2695
Northville Public Schools,1326
Northwest Arctic Borough School District,1035
Northwest Education Services,2486
Northwest Independent School District,1405
Northwest Kansas ESC 602,3087
Northwestern Illinois Association,1342
Nova Classical Academy,1695
Novi Community School District,2699
Nueces County Hospital District,1886
Nye County School District,1025
Oak Grove School District 68,1240
Oak Park ESD 97,1477
Oak Park Schools,1012
Oakland Township,2002
Odessa College,2234
O'Donnell ISD,2081
Ogden City School District,752
Okemos Public Schools,2515
Olton ISD,962
Olympia CUSD 16,1245
Onaga-Havensville-Wheaton USD 322,2706
Onalaska Independent School District,1005
Ontario School District 8C,1188
Oracle Elementary School District No.2,2125
Orange Grove ISD,2329
Orangefield Independent School District,2091
Ore City ISD,1878
Oregon Commission on Autism Spectrum Disorder,2155
Oregon School Boards Association,Oregon
Oregon State Board of Education,2146
Oregon Trail School District #46,1571
Orion Township,1374
Orono Public Schools,1828
Osawatomie USD 367,2595
Oswego Public Library District,2043
Otsego Public Schools,1652
Ottawa Area Intermediate School District,969
Overton ISD,1967
Oxford Community Schools,1339
Oxford USD 358,3088
Paducah ISD,2187
Palacios Independent School District,1210
Palestine ISD,1246
Palmer Independent School District,683
Palos Heights School District #128,2434
Pampa Independent School District,2186
Pana CUSD #8,1756
Panhandle ISD,967
Panola College,1189
Paradise ISD,2289
Paris ISD,687
Paris Junior College,1225
Paris Union School District 95,818
Parkersburg Utility Board,1929
Parkrose School District 3,1541
Parkview School District,1925
Parshall School District #3,2216
Pasadena Independent School District,1894
Paw Paw CUSD #271,1977
Paw Paw Public Schools,1661
Pawnee ISD,1961
Payson Unified School District,1839
Pearl River Community College,2531
Pearsall ISD,632
Peaster ISD,2318
Peck Community Schools,1656
Pecos-Barstow-Toyah ISD,1877
Pekin Community High School District No. 303,1595
Pendleton School District 16R,1559
Pennfield Schools,2568
Pennoyer School District #79,1278
Perryton Independent School District,689
Petersburg ISD,2344
Petersburg School District,1532
Petrolia CISD,708
Pettus Independent School District,1859
Pewitt CISD,654
Pflugerville ISD,Pflugerville
Pharr-San Juan-Alamo ISD,2163
Phoenix-Talent Schools,2579
Pickford Public Schools,2808
Pillager School District #116,2530
Pilot Point Independent School District,2105
Pima County Joint Technical Education District,1386
Pinckney Community Schools,2564
Pine River Area Schools,1424
Pine River-Backus Schools,2584
Pine Tree Independent School District,790
Pineywoods Community Academy,3043
Pipestone Area Schools,1058
Pittsburg ISD,1450
Plains Independent School District,823
Plainview ISD,1882
Pleasant Grove Independent School District,841
Pleasant Plains Community Unit District 8,1789
Pleasant Valley School District # 62,764
Pleasantdale School District 107,1289
PLEASANTON INDEPENDENT SCHOOL DISTRICT,1980
Plemons-Stinnett-Phillips CISD,1002
Pojoaque Valley School District,1370
Ponder Independent School District,2363
Pontiac School District,1112
Pope County,2342
Port Aransas ISD,671
Port Arthur ISD,2236
Port Huron Area School District,943
Port Neches-Groves ISD,1419
Port of Orange,1217
Port of Port Arthur,2761
Port Orford-Langlois School District 2CJ,1552
Port San Antonio,2152
Port Tampa Bay,1448
Portage Public Schools,1485
Portland Public Schools,915
Post ISD,1094
Poth ISD,699
Pottsboro ISD,829
Prairie Grove CSD 46,1431
Prairie Hills USD 113,2715
Prairie Lea ISD,2719
Prairiland ISD,2317
Premont ISD,2221
Prescott Unified School District,1369
Presidio ISD,827
Preston Joint School District #201,2607
Preston Public Schools,2429
Princeton Independent School District,1770
Princeton Public Schools - ISD 477,1092
Prior Lake-Savage Area Schools,1136
"Promesa Public Schools, Inc.",2340
Prospect Heights School District 23,1256
Prosper Independent School District,2084
Proviso Area for Exceptional Children,2812
Proviso Township High Schools,1791
Public Schools of Petoskey,1237
Putnam County CUSD 535,1267
Quanah ISD,2244
Queen Bee School District 16,1782
Queen City ISD,2198
Quinlan Independent School District,2079
Quitman Independent School District,926
Rains ISD,644
Ralls Independent School District,1946
Ramirez CSD,2335
Randolph Field Independent School District,1681
Rankin School District 98,1254
Rantoul City Schools,2431
Raymondville ISD,912
Reagan County ISD,799
Red Lake Schools #38,1072
Red Lick Independent School District,2324
Red Oak ISD,2272
Red Wing Public Schools - ISD 256,837
Redwater ISD,836
Reed City Area Public Schools,2534
Reedsport School District,2759
Refugio ISD,2532
Region 10 Education Service Center,1164
Region 11 Education Service Center,848
Region 12 Education Service Center,1851
Region 16 Education Service Center,906
Region 16 PSP Consolidated ISD Advisory Board,2804
Region 17 Education Service Center,2601
Region 18 Education Service Center,756
Region 3 Education Service Center,1096
Region 4 Education Service Center,2173
Region 5 Educational Service Center,1776
Region 7 Education Service Center,2710
Region 8 Education Service Center,2282
Region One Education Service Center,1388
Renwick USD 267,2797
Reynolds School District,1006
Rhodes School District 84 1/2,2726
Ricardo Independent School District,1902
Rice CISD,663
Rice Independent School District,1016
Richard Milburn Academy,1986
Richardson ISD,705
Richland County CUSD 1,1308
Richmond-Burton CHSD 157,1786
Ridgeview CUSD #19,2404
Ridgewood High School District 234,2337
Riley CCSD 18,3005
Rio Vista ISD,916
River Forest Public Schools,1677
River Road ISD,923
River Trails School District 26,1305
Rivercrest Independent School District,2164
Riverside Brookfield High School,1689
Riverside School District 96,1668
Riviera ISD,2302
Robbinsdale Area Schools,964
Robinson CUSD #2,2513
Robinson ISD,983
Robstown ISD,1504
Roby Consolidated ISD,2012
Rochelle ISD,1073
Rock Island - Milan School District #41,1341
Rock Ridge Public Schools - ISD 2909,1613
Rockdale ISD,2212
"Rockford Area Schools, ISD 883",1166
Rockford Public Schools,3040
Rockport-Fulton Independent School District,854
Rocksprings ISD (069901),1351
Rockwall Independent School District,2276
Rocky Boy Schools,2020
ROCORI SCHOOL DISTRICT 750,1809
Rogers ISD,1048
Roma ISD,2323
Rondout School District 72,1491
Roosevelt Independent School District,727
Ropes Independent School District,2792
Roscoe Collegiate ISD,2397
Roscommon Area Public Schools,1498
Roseau Community School,1340
Rosebud-Lott ISD,750
ROSELLE SCHOOL DISTRICT 12,1680
Roseville Area Schools,2473
Rossville-Alvin CUSD 7,1793
Roswell Independent School District,1919
Round Top-Carmine ISD,2086
Royal Independent School District,2229
Royal Oak Schools,1657
Royal Valley USD 337,2574
Royalton Public Schools,1814
Royse City ISD,2210
Ruidoso Municipal School District,801
Runge ISD,882
Rush City Public Schools,1833
Rushford-Peterson Schools,1829
Rusk Independent School District,875
Russell Test,604
Russellville School District,2994
S & S CISD,1436
Sabine Pass Independent School District,843
Saginaw ISD,1170
Saginaw Public Schools,1662
Saginaw Township Community Schools,1171
Saint Paul Public Schools,1810
Saint Peter Public Schools,1605
Salado ISD,1288
Salt Creek School District 48,2680
Salt Lake City School District,2763
Sam Rayburn ISD,2332
San Angelo ISD,899
San Antonio ISD,1982
San Benito Schools,2809
San Carlos Unified School District No. 20,1920
San Diego Independent School District,1179
San Elizario ISD,2311
San Felipe Del Rio CISD,775
San Isidro ISD,2319
San Marcos CISD,981
San Perlita I.S.D.,2203
San Saba ISD,646
San Vicente ISD,2986
Sandridge School District No. 172,1531
Sands CISD,2028
Sanford-Fritch ISD,693
Sanger Independent School District,666
Santa Cruz Valley Union HS,1995
Santa Gertrudis ISD,2189
Santa Maria Independent School District,3195
Santa Rosa Independent School District,1671
Santo ISD,1128
Saranac Community Schools,1653
SASED Administrative Center,1519
Savoy ISD,2539
Schertz-Cibolo-Universal City ISD,1900
Schiller Park School District 81,1788
Schleicher County ISD,2739
School District 197,1385
School District 206,1200
School District 45,1675
School District 622,1069
School District of Amery,2090
School District of Cameron,1594
School District of Cudahy,1139
School District of Flambeau,1353
School District of Mauston,1187
School District of Mishicot,1698
School District of New Glarus,970
School District of Potosi,2042
School District of River Falls,1447
School District of South Milwaukee,2087
School District of Tomahawk,2045
School District of Turtle Lake,1772
School District of Wauzeka-Steuben,2054
Schoolcraft Community Schools,2500
Schulenburg ISD,1852
Scio School District,2820
Scurry-Rosser ISD,838
Sealy ISD,1432
Seaside School District,3046
Seguin ISD,867
Seminole Independent School District,719
Seymour ISD,1433
SH 130 Municipal Management District No. 1,2743
Shakopee Public Schools,1215
Shallowater ISD,2205
Shamrock ISD,2330
Sharyland ISD,2078
Sheldon ISD,1876
Shepherd ISD,673
Sheridan School District 48J,1550
Shorewood School District,1921
Silsbee Independent School District,667
Silver Consolidated School District,945
Silver Falls School District,1569
Silverton ISD,692
Simms ISD,2061
Sinton ISD,794
Sitka School District,2528
Sivells Bend ISD,2653
Skidmore-Tynan ISD,1511
Skokie School District 68,1402
Skokie School District 69,1794
Slaton Independent School District,726
Slidell ISD,2602
Smith Center USD 237,2997
Smithville ISD,1738
Snook ISD,1904
Snowflake Unified School District #5,2154
Snyder ISD,936
Socorro ISD,2313
Soda Springs Joint School District,1356
Solomon Unified School District 393,2984
Somers Public Schools,2459
Somerset Independent School District,2259
Somerville ISD,1777
Somonauk CUSD 432,1410
Sonora ISD Administration,1303
South Coast ESD,1574
South Harrison Community School Corporation,1138
South Holland School District,1380
South Koochiching - Rainy River ISD 363,1827
South San Antonio ISD,2343
South St. Paul Public Schools,1813
South Texas ISD,1663
South Umpqua School District,2991
Southeast Island School District,1397
Southfield Public Schools,1651
Southington Public Schools,2466
Southside ISD,874
Southwest ISD,1979
SouthWest Metro Intermediate District 288,1186
Southwest Texas Junior College,1229
Spearman ISD,2303
SPEED S.E.J.A. #802,1213
Splendora ISD,1602
Spring Branch Independent School District,889
Spring Hill ISD,771
Spring Valley Academy,2738
Spring Valley CCSD 99,2223
Springlake-Earth ISD,2010
SPRINGTOWN ISD,1407
Spur Independent School District,2247
Spurger ISD,1803
St. Anthony-New Brighton,2549
St. Charles Community Schools,1612
St. Cloud Area School District 742,1478
St. Croix Falls School District,1764
St. Croix Preparatory Academy,1778
St. Francis Area Schools,1821
St. Francis School District,2007
St. Johns Public Schools,1654
St. Joseph County ISD,2188
St. Louis Park Public Schools,1820
St. Louis Public Schools,1660
St. Mary's Charter School,2535
Stafford Municipal School District,1043
Stafford Public Schools,2420
Stamford ISD,1437
Standish-Sterling Community Schools,1124
Stanfield School District,2819
Stanton ISD,2281
Starr County Memorial Hospital,3187
STEDY JTED,1762
Stephenville Independent School District,1799
Sterling City ISD,2165
Stillwater Area Public Schools,2592
Stockdale ISD,2051
Stratford ISD,2307
Streator Elementary School District #44,1501
Sudan Independent School District,2209
Sulphur Bluff ISD,1014
Sulphur Springs Independent School District,1046
Summit Hill District 161,1239
Sunnybrook School District,2480
Sunnyvale ISD,1000
Sunray ISD,956
Swan Valley School District,1487
Swartz Creek Community Schools,2437
Sweeny ISD,630
Sweetwater ISD,2294
Syracuse USD 494,2669
Taft ISD,645
Tahoka ISD,1956
Tarkington ISD,707
Tatum Independent School District,2254
Taylor ISD,2401
Tazewell-Mason Counties Special Education Association,2704
Teague ISD,1911
Tecumseh Public Schools,2587
Tejano Center for Community Concerns,2681
Temple College,1891
Temple ISD,853
Tenaha Independent School District,2082
Terrell ISD,1294
Test City for Texas,577
Test Manual,1355
Texans Can Academies,1952
Texarkana College,1850
Texarkana Independent School District,1913
Texas General Counsel Group,2348
Texas School for The Deaf,2109
Texas Southern University,2066
Texas State University System,1683
Texas Woman's University,1185
Texhoma ISD,1927
The Ehrhart School,2288
Thorndale Independent School District,1847
Thornton Fractional THSD 215,2702
Thrall ISD,1024
Three Rivers ISD,1934
Three Rivers School District,796
Three Way ISD,2673
Throckmorton Collegiate ISD,2474
Tidehaven Independent School District,2267
Tioga Independent School District,2805
to be removed Marengo CHSD 154,2795
Tom Bean ISD,2036
Tonganoxie USD 464,2757
Tornillo Independent School District,2199
Town of Benson,1593
Town of Cicero,1372
Town of Emerald Isle,1599
Town of Horizon City,928
Township High School District 214,2567
Trenton Independent School District,1993
Tri-County Schools,2748
Trinity Independent School District,735
Troup ISD,1302
Troy 30-C,1220
Troy Independent School District,907
Tulia Independent School District,2284
Tuloso-Midway ISD,643
Tunica County School District,1416
Tupelo Public School District,1648
Tyler ISD,1932
Ubah Medical Academy - ISD 4121,1815
Udall USD 463,2765
Umatilla School District,2588
Umatilla-Morrow Head Start,2544
Union City Community Schools,2400
Union Grove ISD,2217
Unionville-Sebewaing Area School District,2987
United ISD,2029
United Township High School District 30,1325
Unity School District,2132
University of Houston System,685
USD 333 Concordia Public Schools,2410
USD 417 - Morris County,2990
Utica Community Schools,1321
Uvalde Consolidated Independent School District,1047
Valley Mills ISD,2037
Valley View ISD - Hidalgo County,922
Valley View ISD-Cooke County,1871
Van Alstyne ISD,850
Van Buren ISD,1474
Van Buren Public Schools,2346
Van Independent School District,1879
Van Vleck ISD,742
Vanguard Academy,2827
Vega ISD,2068
Venus Independent School District,636
Veribest ISD,2339
Vernon Independent School District,1442
Vicksburg Community Schools,1649
Vidor Independent School District,1004
Vienna Township,2048
Vigo County Public Library,1950
Village of Maywood,1130
Waco Independent School District,1965
Waconda USD 272,2631
Waconia Public Schools,1513
Waelder ISD,876
Walker-Hackensack-Akeley Schools,1818
Walla Walla Public Schools,997
Walled Lake Consolidated School District,927
Waller ISD,737
Walthall County School Board,1685
Warren ISD,1991
Washington Community High School,1590
Washington District 50 Schools,1493
Washington State Convention Center,1361
Waskom ISD,1052
Water Valley ISD,2222
Waterford Union High School,1610
Waterloo CUSD No. 5,1868
Waterville-Elysian-Morristown School District,1222
Waunakee Community School District,1924
Wausau School District,1360
Wauseon Exempted Village Schools,2794
Waverly Community Schools,1086
Wawasee Community School Corporation,1912
Waxahachie Independent School District,765
Wayne School District,1576
Wayzata Public Schools,1040
Weatherford Independent School District,992
Webb CISD,2612
Weber School District,1523
Weimar ISD,785
Wellington ISD,2098
Wellington USD 353,2642
Wellman-Union ISD,2040
WESLACO INDEPENDENT SCHOOL DISTRICT,2555
West Allis-West Milwaukee Schools,1597
West Bonner County School District 83,2136
West Branch - Rose City Area Schools,1480
West Carroll CUSD 314,1253
West Chicago Elementary School District 33,1758
West Hanover Township,1176
West Hardin County CISD,989
West Harvey-Dixmoor School District 147,1691
West Independent School District,821
West Iron Public Schools,2690
West Linn-Wilsonville School District,1543
West Orange-Cove CISD,2102
West Oso ISD,2322
West Ottawa Public Schools,2764
West Rusk County Consolidated ISD,2295
West Sabine ISD,1141
Westbrook ISD,2073
Western School District,1106
Westhoff ISD,2828
Weston Public Schools,2468
Westwood Community School District,1650
Westwood Heights Schools,1165
Westwood Independent School District,2047
Wexford-Missaukee ISD,1026
Wharton County Junior College,2052
Wharton ISD,808
White Deer Independent School District,1414
White Oak ISD,2248
White Settlement ISD,1404
Whitehouse ISD,1841
Whiteriver Unified School District,2032
Whitesboro Independent School District,1601
Whitney Independent School District,2245
Wichita Falls Independent School District,676
Wildorado ISD,2260
Will County School District 92,1292
Williamston Community Schools,1135
Willis ISD,2995
Williston Basin School District #7,2185
Wills Point ISD,873
Wilmington CUSD 209U,1674
Wilson ISD,2779
Wimberley Independent School District,2301
Windom Area Schools,2781
Windsor Public Schools,2419
Windthorst ISD,1118
Win-E-Mac Schools,2811
Winfield School District 34,1425
Wink-Loving ISD,1184
Winnsboro Independent School District,738
Winona ISD,925
Winston Dillard School District,1221
Winters ISD,1415
Woden ISD,1800
Wolfe City ISD,1494
Wonewoc-Union Center School District,1449
Wood Dale School District 7,1191
Woodbridge School District,2455
Woodburn School District,1562
Woodhaven-Brownstown School District,1473
Woodland School District 50,1739
Woodridge School District 68,1790
Woodstock Community Unit School District 200,1277
Woodville ISD,769
Workers' Compensation Self-Insurance Trust,1783
Workforce Solutions Alamo,751
Wrenshall School,2703
WRUSD,893
Wylie Independent School District,2275
Yantis ISD,696
Yellow Medicine East ISD 2190,1157
Ysleta Independent School District,2312
Yukon Flats School District,2391
Yuma Elementary School District One,2085
Zapata County Independent School District,2305
Zion Elementary School District 6,1476
Zionsville Community Schools,2039
