school_district,meeting_minutes_url
HOUSTON ISD,https://houstonisd.legistar.com/Calendar.aspx
NORTHSIDE ISD,https://www.nisd.net/board/minutes
DALLAS ISD,https://go.boarddocs.com/tx/disd/Board.nsf/vpublic?open
ALDINE ISD,https://meetings.boardbook.org/public/Organization/1722
CYPRESS-FAIRBANKS ISD,https://meetings.boardbook.org/Public/Organization/668
IDEA PUBLIC SCHOOLS,https://ideapublicschools.org/our-story/national-board-of-directors/
FORT WORTH ISD,https://fortworthisd.granicus.com/ViewPublisher.php?view_id=2
FORT BEND ISD,https://meetings.boardbook.org/Public/Organization/649
SAN ANTONIO ISD,https://meetings.boardbook.org/public/Organization/1982
AUSTIN ISD,https://go.boarddocs.com/tx/austinisd/Board.nsf/Public